annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
11141,1,2025-11-15T07:31:37.165128Z,26,"[{""start"":60,""end"":67,""text"":""YouTube"",""labels"":[""SERVICE""]},{""start"":232,""end"":242,""text"":""Content ID"",""labels"":[""FEATURE""]},{""start"":303,""end"":310,""text"":""YouTube"",""labels"":[""SERVICE""]},{""start"":362,""end"":372,""text"":""Content ID"",""labels"":[""FEATURE""]},{""start"":507,""end"":512,""text"":""Vimeo"",""labels"":[""SERVICE""]},{""start"":515,""end"":522,""text"":""Blip.tv"",""labels"":[""SERVICE""]},{""start"":526,""end"":533,""text"":""Viddler"",""labels"":[""SERVICE""]},{""start"":601,""end"":611,""text"":""CloudFront"",""labels"":[""SERVICE""]},{""start"":574,""end"":582,""text"":""JWPlayer"",""labels"":[""APP""]}]",163.904,"You can't without becoming a partner. The upload limit on YouTube videos has been increased from 10 minutes to 15 minutes. One of the reasons we can increase the video time limit is that we've made incremental improvements to our Content ID technology that helps content owners manage their videos on YouTube. We look forward to increasing the upload limit as Content ID continues to evolve and become even more sophisticated. If you want to upload videos longer than 15 minutes, try another site such as Vimeo , Blip.tv or Viddler . You could also host it yourself using JWPlayer and a CDN such as CloudFront .  As Even Mien said in the comments, you could also see if you can become a partner.",2025-11-15T07:31:37.165168Z
11142,1,2025-11-15T07:33:12.500522Z,27,"[{""start"":62,""end"":71,""text"":""protected"",""labels"":[""FEATURE""]},{""start"":326,""end"":331,""text"":""block"",""labels"":[""FEATURE""]},{""start"":396,""end"":406,""text"":""block link"",""labels"":[""UI_ELEMENT""]}]",94.802,"There are some options: You might want to make your account protected. If you do this, you can control who gets to follow you and who doesn't. However this also means that none of your tweets will be public, so people will have to follow you first (and you will have to accept them) before they can see your tweets. You can block a person you don't like. Just go to their profile and click the block link in the sidebar.",2025-11-15T07:33:12.500561Z
11143,1,2025-11-15T07:35:18.789645Z,28,"[{""start"":175,""end"":188,""text"":""settings page"",""labels"":[""UI_ELEMENT""]},{""start"":215,""end"":232,""text"":""Protect my Tweets"",""labels"":[""UI_ELEMENT""]},{""start"":10,""end"":29,""text"":""protect your tweets"",""labels"":[""FEATURE""]},{""start"":152,""end"":166,""text"":""account screen"",""labels"":[""UI_ELEMENT""]}]",123.556,"You can protect your tweets if the side effects are acceptable to you. This way you will receive an email anytime someone wants to follow you. On the account screen for the settings page, check the box that says ""Protect my Tweets"", just be aware of the caveats which are as follows (text from the settings page when you are actively protecting your tweets): Your tweets are currently protected; only those you approve will receive your tweets. Your future tweets will not be available publicly. Tweets posted previously may still be publicly visible in some places. I did this recently, it's been much nicer I think.",2025-11-15T07:35:18.789680Z
11144,1,2025-11-15T09:34:10.603656Z,29,"[{""start"":138,""end"":148,""text"":""Mafia Wars"",""labels"":[""FEATURE""]},{""start"":157,""end"":172,""text"":""Hide Mafia Wars"",""labels"":[""UI_ELEMENT""]},{""start"":162,""end"":172,""text"":""Mafia Wars"",""labels"":[""APP""]},{""start"":45,""end"":56,""text"":""Hide button"",""labels"":[""UI_ELEMENT""]},{""start"":45,""end"":49,""text"":""Hide"",""labels"":[""FEATURE""]}]",193.266,"Mouse over the update and you should see a Hide button. Click it, and you should be given a choice between hiding your friend or hiding Mafia Wars. Click ""Hide Mafia Wars"".",2025-11-15T09:34:10.603689Z
11145,1,2025-11-15T09:40:36.011545Z,31,"[{""start"":39,""end"":47,""text"":""facebook"",""labels"":[""SERVICE""]},{""start"":76,""end"":93,""text"":""Block Application"",""labels"":[""FEATURE""]},{""start"":76,""end"":99,""text"":""Block Application\"" link"",""labels"":[""UI_ELEMENT""]},{""start"":150,""end"":160,""text"":""Mafia Wars"",""labels"":[""APP""]},{""start"":433,""end"":443,""text"":""Mafia Wars"",""labels"":[""APP""]}]",384.894,"You can open the game at http://apps.facebook.com/inthemafia/ . Find the ""Block Application"" link and follow the instructions. Further updates from Mafia Wars will not be seen on your account. If you're interested in just blocking a particular user's updates, you can block the person by visiting their profile and doing the same thing on that page, however you will effectively be blocking ALL of their updates and not just their Mafia Wars updates.",2025-11-15T09:40:36.011580Z
11146,1,2025-11-15T09:50:23.968357Z,32,"[{""start"":11,""end"":17,""text"":"" block"",""labels"":[""FEATURE""]},{""start"":92,""end"":98,""text"":""Report"",""labels"":[""FEATURE""]}]",187.226,"You could block them, as described here.  If the account is definitely a spammer, I guess Report JaneDoe as spam would work too.",2025-11-15T09:50:23.968380Z
11147,1,2025-11-15T09:52:03.918535Z,33,"[{""start"":37,""end"":45,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":86,""end"":94,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":195,""end"":203,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":259,""end"":277,""text"":""Microsoft Exchange"",""labels"":[""APP""]},{""start"":247,""end"":255,""text"":""Contacts"",""labels"":[""APP""]},{""start"":37,""end"":53,""text"":""Facebook Friends"",""labels"":[""SERVICE""]}]",99.323,How do I get the phone numbers of my Facebook Friends?. There was a time that somehow Facebook synced to my phone and that was great but I did not want all of them. How can I manually select the Facebook numbers and then export it to my phone via Contacts or Microsoft Exchange ? Where is this option ?,2025-11-15T09:52:03.918558Z
11148,1,2025-11-15T09:52:23.162264Z,35,"[{""start"":2,""end"":9,""text"":""Twitter"",""labels"":[""SERVICE""]},{""start"":17,""end"":32,""text"":""advanced search"",""labels"":[""FEATURE""]},{""start"":17,""end"":37,""text"":""advanced search form"",""labels"":[""UI_ELEMENT""]}]",18.666,Twitter has an advanced search form that you can use.,2025-11-15T09:52:23.162284Z
11149,1,2025-11-15T09:54:19.514262Z,36,"[{""start"":27,""end"":32,""text"":""Tools"",""labels"":[""UI_ELEMENT""]},{""start"":35,""end"":41,""text"":""Import"",""labels"":[""UI_ELEMENT""]},{""start"":44,""end"":51,""text"":""Blogger"",""labels"":[""UI_ELEMENT""]},{""start"":98,""end"":104,""text"":""Manage"",""labels"":[""UI_ELEMENT""]},{""start"":107,""end"":113,""text"":""Import"",""labels"":[""UI_ELEMENT""]},{""start"":116,""end"":123,""text"":""Blogger"",""labels"":[""UI_ELEMENT""]},{""start"":116,""end"":123,""text"":""Blogger"",""labels"":[""APP""]},{""start"":5,""end"":14,""text"":""wordpress"",""labels"":[""APP""]},{""start"":57,""end"":66,""text"":""WordPress"",""labels"":[""APP""]},{""start"":159,""end"":191,""text"":""google-blog-converters-appengine"",""labels"":[""SERVICE""]}]",115.823,"In wordpress admin go to Tools → Import → Blogger. For WordPress versions 2.0.2 to 2.6.5, go to Manage → Import → Blogger. Or go to http://code.google.com/p/google-blog-converters-appengine/",2025-11-15T09:54:19.514299Z
11150,1,2025-11-15T09:55:31.111003Z,37,"[{""start"":13,""end"":22,""text"":""Wordpress"",""labels"":[""APP""]},{""start"":84,""end"":86,""text"":""WP"",""labels"":[""APP""]},{""start"":102,""end"":104,""text"":""WP"",""labels"":[""APP""]},{""start"":102,""end"":110,""text"":""WP admin"",""labels"":[""UI_ELEMENT""]},{""start"":118,""end"":123,""text"":""Tools"",""labels"":[""UI_ELEMENT""]},{""start"":126,""end"":132,""text"":""Import"",""labels"":[""UI_ELEMENT""]}]",71.022,"I am using Wordpress 3.0 so I am not sure if this applies to previous versions of WP or not. In the WP admin, go to Tools > Import. Then you'll see a list of import tools you can install and use.",2025-11-15T09:55:31.111040Z
11151,1,2025-11-15T09:57:01.084611Z,38,"[{""start"":58,""end"":69,""text"":""Photobucket"",""labels"":[""SERVICE""]},{""start"":127,""end"":138,""text"":""Photobucket"",""labels"":[""SERVICE""]},{""start"":265,""end"":270,""text"":""album"",""labels"":[""UI_ELEMENT""]}]",87.292,"How do I let other people view my photos I’ve uploaded to Photobucket?. I've created an album and uploaded a load of photos to Photobucket, but when I send the link to my friends all they see is a login screen. I've searched but I can't find the option to make the album publicly visible. I don't want to make all the images public, just the ones in one particular album. It would be great if I could limit the viewers to a few people - is this at all possible?",2025-11-15T09:57:01.084627Z
11152,1,2025-11-15T09:57:36.278616Z,39,"[{""start"":79,""end"":86,""text"":""twitter"",""labels"":[""SERVICE""]},{""start"":94,""end"":109,""text"":""advanced search"",""labels"":[""FEATURE""]}]",34.749,"If you can remember what the site was about or a word or two from the tweet, twitter has an advanced search which allows you to specify a user's tweets to search",2025-11-15T09:57:36.278640Z
11153,1,2025-11-15T09:57:57.192414Z,40,"[{""start"":43,""end"":60,""text"":""Block Application"",""labels"":[""UI_ELEMENT""]},{""start"":43,""end"":60,""text"":""Block Application"",""labels"":[""FEATURE""]}]",20.462,"Go to the application's page and select ""Block Application"" and confirm.",2025-11-15T09:57:57.192432Z
11154,1,2025-11-15T10:00:37.199599Z,42,"[{""start"":32,""end"":44,""text"":""Google Drive"",""labels"":[""SERVICE""]},{""start"":32,""end"":38,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":64,""end"":76,""text"":""Google Drive"",""labels"":[""SERVICE""]},{""start"":64,""end"":70,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":215,""end"":227,""text"":""Google Drive"",""labels"":[""SERVICE""]},{""start"":215,""end"":221,""text"":""Google"",""labels"":[""SERVICE""]}]",533.924,"What is the bandwidth limit for Google Drive file uploads?. The Google Drive help states that one's storage quota ""includes plenty of bandwidth for ordinary use"". In practice, about how much does this amount to? Is Google Drive suitable for hosting for public downloads, or is the bandwidth limit likely to kick in fairly quickly?",2025-11-15T10:00:37.199599Z
11155,1,2025-11-15T10:00:53.846058Z,43,"[{""start"":126,""end"":132,""text"":""delete"",""labels"":[""UI_ELEMENT""]},{""start"":155,""end"":162,""text"":""twitter"",""labels"":[""SERVICE""]},{""start"":192,""end"":198,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":205,""end"":212,""text"":""twitter"",""labels"":[""SERVICE""]}]",178.137,There was an answer to the same question on superuser.com that you can reference. Jonathan Sampson 's answer from that (now deleted) post: http://search.twitter.com from:username tax Or use Google: site:twitter.com/username tax,2025-11-15T10:00:53.846058Z
11156,1,2025-11-15T10:01:11.720409Z,44,"[{""start"":2,""end"":8,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":49,""end"":69,""text"":""Google Calendar Sync"",""labels"":[""SERVICE""]},{""start"":49,""end"":64,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":49,""end"":55,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":81,""end"":87,""text"":""google"",""labels"":[""SERVICE""]}]",305.577,Google has a tool to help you with this called Google Calendar Sync http://www.google.com/support/calendar/bin/answer.py?answer=89955,2025-11-15T10:01:11.720409Z
11157,1,2025-11-15T10:01:16.320643Z,45,"[{""start"":33,""end"":39,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":58,""end"":78,""text"":""Google Calendar Sync"",""labels"":[""SERVICE""]},{""start"":58,""end"":73,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":58,""end"":64,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":113,""end"":128,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":113,""end"":119,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":133,""end"":159,""text"":""Microsoft Outlook Calendar"",""labels"":[""SERVICE""]},{""start"":143,""end"":159,""text"":""Outlook Calendar"",""labels"":[""SERVICE""]},{""start"":278,""end"":293,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":278,""end"":284,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":298,""end"":324,""text"":""Microsoft Outlook Calendar"",""labels"":[""SERVICE""]},{""start"":308,""end"":324,""text"":""Outlook Calendar"",""labels"":[""SERVICE""]},{""start"":421,""end"":441,""text"":""Google Calendar Sync"",""labels"":[""SERVICE""]},{""start"":421,""end"":436,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":421,""end"":427,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":482,""end"":489,""text"":""Outlook"",""labels"":[""APP""]},{""start"":538,""end"":545,""text"":""Outlook"",""labels"":[""APP""]}]",224.456,"You may want to take a look at Google's Calendar Sync : Google Calendar Sync allows you to sync events between Google Calendar and Microsoft Outlook Calendar. You'll be able to determine the direction of information flow, as well as the sync frequency. Staying on top of your Google Calendar and Microsoft Outlook Calendar events has never been easier! Here's some good information to know to help you get started with Google Calendar Sync. It lists as only being compatible with Outlook 2003 and 2007, so I'm not sure if it works with Outlook 2010.",2025-11-15T10:01:16.320643Z
11158,1,2025-11-15T10:01:29.930016Z,46,"[{""start"":29,""end"":40,""text"":""Google Docs"",""labels"":[""SERVICE""]},{""start"":29,""end"":35,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":41,""end"":52,""text"":""spreadsheet"",""labels"":[""FILE_TYPE""]},{""start"":79,""end"":90,""text"":""spreadsheet"",""labels"":[""FILE_TYPE""]},{""start"":94,""end"":105,""text"":""Google Docs"",""labels"":[""SERVICE""]},{""start"":94,""end"":100,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":256,""end"":267,""text"":""Google Apps"",""labels"":[""SERVICE""]},{""start"":256,""end"":262,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":292,""end"":303,""text"":""Google Docs"",""labels"":[""SERVICE""]},{""start"":292,""end"":298,""text"":""Google"",""labels"":[""SERVICE""]}]",15.521,"Is there any way to script a Google Docs spreadsheet?. I have a really complex spreadsheet in Google Docs, and while it works, having the ability to script it a bit (à la VBA in Microsoft Office) would make it a lot cleaner. I heard that this is doable in Google Apps, but I can't find it in Google Docs. Is this possible? Or is this something only Office can do?",2025-11-15T10:01:29.930016Z
11159,1,2025-11-15T10:01:43.547823Z,47,"[{""start"":13,""end"":21,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":36,""end"":41,""text"":""opera"",""labels"":[""APP""]},{""start"":46,""end"":54,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":162,""end"":170,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":380,""end"":385,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":621,""end"":629,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":853,""end"":861,""text"":""settings"",""labels"":[""UI_ELEMENT""]},{""start"":900,""end"":908,""text"":""Facebook"",""labels"":[""SERVICE""]}]",241.309,"How does the Facebook friend finder operate?. Facebook friend finder is really creepy. It has suggested to me: The father of a friend of mine —whose existence in Facebook was unknown to the said friend of mine himself. The twin brother of a colleague of mine —of whose family I had no idea whatsoever about, Close friends of a school-going young relative of mine —though I had no Gmail or any other web-based contact with the said relative for a long time. An old and longstanding crush of a friend Ex-girlfriend of a friend . Additionally, I have lost count of the number of times when I first saw somebody's profile on Facebook through their twisted suggestion mechanism, and much, much later, came to know who the person actually is. And many more. I have no idea how on earth they find out all this connecting information. I have locked my security settings to the maximum. Nobody can find me on Facebook unless I go to them and add them as a friend. Then how is this possible? How does it work?",2025-11-15T10:01:43.547823Z
11160,1,2025-11-15T10:02:42.803448Z,48,"[{""start"":36,""end"":44,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":64,""end"":72,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":97,""end"":113,""text"":""privacy settings"",""labels"":[""FEATURE""]},{""start"":97,""end"":113,""text"":""privacy settings"",""labels"":[""UI_ELEMENT""]},{""start"":105,""end"":113,""text"":""settings"",""labels"":[""UI_ELEMENT""]}]",91.307,"How do I ensure that what I post on Facebook stays private?. On Facebook, how should I adjust my privacy settings so that my posts stay private?",2025-11-15T10:02:42.803448Z
11161,1,2025-11-15T10:02:55.304668Z,50,"[{""start"":5,""end"":13,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":26,""end"":33,""text"":""Account"",""labels"":[""UI_ELEMENT""]},{""start"":57,""end"":69,""text"":""Edit Friends"",""labels"":[""UI_ELEMENT""]},{""start"":103,""end"":112,""text"":""Phonebook"",""labels"":[""UI_ELEMENT""]}]",79.89,"On Facebook: Click the ""Account"" dropdown menu. Click ""Edit Friends"" Look on the left-side menu for ""Phonebook"". All friends with their phone numbers entered will appear in the list.",2025-11-15T10:02:55.304668Z
11162,1,2025-11-15T10:03:09.157346Z,52,"[{""start"":2,""end"":8,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":83,""end"":94,""text"":""Google Docs"",""labels"":[""SERVICE""]},{""start"":83,""end"":89,""text"":""Google"",""labels"":[""SERVICE""]}]",157.938,"Google says not to worry unless ""there is an egregious amount of bandwidth use."" Google Docs Help Forum .",2025-11-15T10:03:13.483846Z
